SEP=,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
-
,ROUND EVENTS BREAKDOWN
,Match ID,Round,Time into Round (ms),VOD Time,Team,Type,Actor,Victim,Blue Team Alive,Orange Team Alive,Kill Subtype,
1,oregon_1638047273216,1,127151,01:38,Orange,kill,Zhenzima,Dirk.Ez,5,5,Entry Kill
2,oregon_1638047273216,1,127540,01:37,Orange,Elimination,-,-,4,5,-
3,oregon_1638047273216,2,103313,02:02,Blue,kill,Dirk.Ez,Zhenzima,5,5,Entry Kill
4,oregon_1638047273216,2,103615,02:01,Blue,Elimination,-,-,5,4,-
5,oregon_1638047273216,3,170430,00:55,Blue,kill,Dirk.Ez,Zhenzima,5,5,Entry Kill
6,oregon_1638047273216,3,170749,00:54,Blue,Elimination,-,-,5,4,-
7,oregon_1638047273216,4,97343,02:08,Orange,kill,Zhenzima,Dirk.Ez,5,5,Entry Kill
8,oregon_1638047273216,4,97626,02:07,Orange,Elimination,-,-,4,5,-
9,oregon_1638047273216,5,144641,01:20,Blue,kill,Dirk.Ez,Zhenzima,5,5,Entry Kill
10,oregon_1638047273216,5,144998,01:20,Blue,Elimination,-,-,5,4,-
11,oregon_1638047273216,6,154951,01:10,Orange,kill,Zhenzima,Dirk.Ez,5,5,Entry Kill
12,oregon_1638047273216,6,155282,01:10,Orange,Elimination,-,-,4,5,-
13,oregon_1638047273216,7,195000,00:30,Orange,kill,Zhenzima,Dirk.Ez,5,5,Entry Kill
14,oregon_1638047273216,7,195293,00:30,Orange,Elimination,-,-,4,5,-
15,oregon_1638047273216,8,117536,01:47,Blue,plant,Dirk.Ez,-,5,5,-
16,oregon_1638047273216,8,125521,01:39,Blue,kill,Dirk.Ez,Zhenzima,5,5,Entry Kill
17,oregon_1638047273216,8,125823,01:39,Blue,Defuser Planted,-,-,5,4,-
18,oregon_1638047273216,9,178638,00:46,Blue,kill,Dirk.Ez,Zhenzima,5,5,Entry Kill
19,oregon_1638047273216,9,178972,00:46,Blue,Elimination,-,-,5,4,-
-
